materia,grado,periodo,tema
Ciencias Sociales,3°,I,"- Gobierno escolar: Funciones de los diferentes estamentos que lo componen.
- Propuestas de los representantes al Consejo Estudiantil
- Elecciones escolares y ejercicio del voto
- ¿Qué es un departamento?
- ¿Quien gobierna en mi departamento?: La gobernación y la Asamblea Departamental
- Desarrollo y comparación de propuestas de los representantes al Consejo estudiantil. (C PAZ: Proyecto de impacto social)
- Normas en el departamento, en la ciudad y en el colegio: Mis derechos y mis deberes como ciudadano. (C PAZ: Participación política)
- Mis derechos y deberes como ciudadano"
Ciencias Sociales,3°,II,"- Trabajando con el mapamundi: ubiquemos continentes, océanos y el país.
- División política de Colombia: departamentos y capitales.
- Mi departamento: Ubicación geográfica del Valle del Cauca.
- Regiones naturales de Colombia. 
- El relieve Colombiano (montañas, valles, ríos, etc.)
- Zonas climáticas de la tierra.
- Clima y vegetación en las regiones: Los pisos térmicos.
- Recursos naturales en nuestra región: renovables y no renovables (C PAZ: Protección de las riquezas naturales de la Nación)."
Ciencias Sociales,3°,III,"- La importancia del tiempo en la organización de las diferentes actividades humanas: Mi rutina diaria
- ¿Cómo podemos ordenar el tiempo y los sucesos? (Unidades de tiempo y línea de tiempo)
- Grupos poblacionales en mi departamento: características sociales, económicas, culturales y situación actual. (C PAZ: Protección de las riquezas culturales de la Nación)
- Cambios demográficos en mi departamento y en mi ciudad.
- Costumbres y tradiciones en mi departamento y país: soy vallecaucano, soy colombiano. (CPAZ: Protección de las riquezas culturales de la Nación)
- El legado de mis antepasados. Un vistazo a los vestigios que me permiten ver el pasado de mi región."
Ciencias Sociales,4°,I,"La participación ciudadana y la democracia.
Responsabilidades de los cargos de elección popular (personero, contralor, etc.) (C. PAZ: Participación política)
Los derechos y los deberes de los niños y niñas
Protección de la niñez: instituciones que velan por sus derechos (ICBF, Defensoría, UNICEF). (C. PAZ: Justicia y Derechos Humanos)
La Constitución y las ramas del poder público en Colombia (funciones y división de poderes)
 Las necesidades básicas del ser humano.
 La importancia de los servicios públicos domiciliarios: ayer y hoy.
Las necesidades básicas de las familias colombianas."
Ciencias Sociales,4°,II,"Primeras organizaciones humanas: bandas, clanes y tribus.
Pueblos indígenas y familias lingüísticas de Colombia
Organización social y económica de los pueblos originarios en Colombia. (C PAZ: Protección de las riquezas culturales de la Nación)
El legado cultural indígena en la identidad colombiana. (C PAZ: Protección de las riquezas culturales de la Nación) 
Colombia como país pluriétnico y multicultural. (C PAZ  Proyectos de impacto social)
Conquista Española y sus consecuencias en los pueblos precolombinos
Transformaciones socioculturales recientes por el uso de la tecnología."
Ciencias Sociales,4°,III,"Límites y fronteras: ¿qué son y para qué sirven?
Fronteras de Colombia: terrestres y marítimas
Importancia económica, social y cultural de las fronteras colombianas.
Diferencias entre el medio rural y urbano: población y uso del suelo (C. PAZ Dilemas morales)
Orientación espacial: puntos cardinales, planos y croquis.
Uso e interpretación de mapas físicos y políticos de Colombia."
Ciencias Sociales,5°,I,"¿Cómo funciona la democracia en mi colegio?La democracia y participación en el colegio. (C PAZ: Participación política)
La Constitución de 1991: El libro de nuestros derechos fundamentales (C PAZ: Justicia y Derechos Humanos)
Instituciones nacionales e internacionales para la protección de la niñez 
Periodo colonial en Colombia: Virreinato de Nueva Granada, Grupos sociales e instituciones coloniales, iglesia católica.
Sistemas de trabajo y economía durante el periodo colonial"
Ciencias Sociales,5°,II,"Antecedentes y causas del proceso de Independencia nacional (CPAZ: Memoria histórica)
Evolución territorial e histórica de la República de Colombia 
El debate entre centralismo y federalismo en el siglo XIX 
Conflictos políticos y sociales en la Colombia contemporánea (CPAZ: Memoria histórica - Proyectos de impacto social)
Desarrollo tecnológico, industrial y de comunicaciones en Colombia  (siglo XX y XXI)"
Ciencias Sociales,5°,III,"Líneas imaginarias de la Tierra: Latitud y longitud 
Posición geográfica y astronómica de Colombia.
Importancia de los océanos en Colombia. (C PAZ: Protección de las riquezas naturales de la Nación)
División político-administrativa de Colombia.
Regiones de Colombia: características físicas y culturales y relación entre geografía y biodiversidad."
Ciencias Sociales,6°,I,"La construcción de normas y convivencia en el entorno familiar y escolar 
Las normas de las sociedades antiguas y actuales (Código de Hammurabi – La ley de las 12 tablas – Carta Magna de Inglaterra – Constitución Política).
Construcción de normas (familia, colegio).
El concepto de ciudadanía a través del tiempo.
Las estructuras políticas en la Antigüedad y las de la actualidad. (Democracia –Tiranía- Teocracia – Aristocracia – Monarquía).
La democracia ayer y hoy. (C PAZ: Proyectos de impacto social)
De la democracia representativa a la democracia participativa. (C PAZ: Participación política)
Transición de la democracia representativa a la participativa (C PAZ: Participación política)
Interculturalidad y Multiculturalidad: ¿dos expresiones semejantes, independientes o dependientes? (C PAZ: Diversidad y pluralidad)"
Ciencias Sociales,6°,II,"Teorías científicas, religiosas y mitológicas que explican el origen del universo.
Teorías del origen del universo (ciencia, mito, religión) 
El sistema solar y su relación con la vida en nuestro planeta.
La Tierra: hidrósfera – atmósfera – litósfera – biósfera – los husos horarios.
Teoría de la deriva continental y la dinámica interna de la Tierra.
Teoría de la deriva continental y la dinámica interna de la Tierra.
La Tierra: hidrósfera – atmósfera – litósfera – biósfera – los husos horarios.
El impacto de algunos fenómenos naturales en el paisaje y la vida de las personas.
Fenómenos naturales y su impacto en las sociedades humanas 
Los primeros homínidos y su paso hacia la humanización
Teorías del poblamiento americano.
Localización y aportes de las culturas prehispánicas (Maya, Azteca, Incas). 
Sociedades prehispánicas Vs. Sociedades actuales: ¿retroceso o progreso?"
Ciencias Sociales,6°,III,"Los primeros homínidos y su paso hacia la humanización.
Teorías del poblamiento americano.
La domesticación y la agricultura: factores clave para el desarrollo de las sociedades.
Las primeras civilizaciones hidráulicas: El río fuente de progreso y de vida.
Los primeros esclavos: ¿motor del desarrollo de las civilizaciones?
Grandes sociedades antiguas 
Grandes sociedades antiguas: localización y legado.
Localización y aportes de las culturas prehispánicas (Mayas, Aztecas e Incas). 
Sociedades prehispánicas vs. sociedades actuales: ¿retroceso o progreso?
La domesticación y la agricultura: factores clave para el desarrollo de las sociedades.
Los primeros esclavos: ¿motor del desarrollo de las civilizaciones?
Las primeras civilizaciones hidráulicas: El río fuente de progreso y de vida."
Ciencias Sociales,7°,I,"Gobierno escolar.   
Estructura y funciones del Gobierno Escolar 
¿Qué es la dignidad humana y cómo fortalecerla? (C PAZ: Participación política) 
Declaración de los Derechos Humanos Universales y Derechos fundamentales en la Constitución Política de 1991.
La pertinencia de la Acción de Tutela. (C PAZ: Justicia y Derechos Humanos)
Estrategias para la resolución de conflictos: la negociación y la mediación escolar. (C PAZ: Resolución pacífica de conflictos)
La importancia de los escenarios de paz. (C PAZ: Proyecto de impacto social)."
Ciencias Sociales,7°,II,"- El imperio romano: un vistazo a su política, su cultura, su economía, su legado.
- Edad media: imperios – feudalismo – poder de la Iglesia.
- Renacimiento e Ilustración
- El proceso de conquista y colonización europea en América
- Características sociales y políticas en las colonias americanas.
- Culturas precolombinas ¿semejantes o distantes de la cultura europea del medioevo?
- Importancia de la diversidad cultural y étnica como elemento constitutivo de la identidad latinoamericana. (C PAZ: Protección de las riquezas culturales de la nación)
Representaciones cartográficas: ayer y hoy.
La cartografía en la cotidianidad de las personas.
Geografía urbana: conceptos y su importancia.
La Industrialización y el crecimiento urbano como generadores de la organización de las ciudades.
Problemáticas de las ciudades actuales. (C.PAZ Proyectos de impacto social)"
Ciencias Sociales,7°,III,"Representaciones cartográficas: ayer y hoy.
La cartografía en la cotidianidad de las personas.
Geografía urbana: conceptos y su importancia.
La Industrialización y el crecimiento urbano como generadores de la organización de las ciudades.
Problemáticas de las ciudades actuales. (C.PAZ Proyectos de impacto social)

El imperio romano: un vistazo a su política, su cultura, su economía, su legado.
Edad media: imperios – feudalismo – poder de la Iglesia.
Culturas precolombinas ¿semejantes o distantes de la cultura europea del medioevo?
Características sociales y políticas en las colonias americanas.
Importancia de la diversidad cultural y étnica como elemento constitutivo de la identidad latinoamericana. (C PAZ: Protección de las riquezas culturales de la nación)"
Ciencias Sociales,8°,I,"1.  Revoluciones burguesas: Causas y consecuencias
2. Revolución francesa: Causas, desarrollo, consecuencias (Derechos del Hombre y del Ciudadano, soberanía popular, Constitución, división de poderes y estados nacionales)
3.  Procesos de independencia de las colonias americanas durante los siglos XVIII y XIX
4. El proceso independentista en Colombia y la influencia de la Rev. Francesa. (CPAZ: Memoria histórica)
5. Colombia: ¿Estado social de derecho? (CPAZ: Participación política)
6. La Constitución Política de Colombia de 1991- Título I y Título II. (CPAZ: Justicia y Derechos Humanos)
7. Vulneración de los derechos constitucionales: Análisis de casos en Colombia. (La discriminación y la exclusión social como factores de pobreza y violencia). (CPAZ: Justicia y Derechos Humanos)"
Ciencias Sociales,8°,II,"La revolución industrial: Causas, desarrollo, consecuencias (impacto social, económico y ambiental provocado por los avances tecnológicos y de industrialización en Colombia).
 Desarrollo y consolidación del capitalismo: sus características
El imperialismo europeo: 1885, año de la repartición (causas y consecuencias)
Dominio europeo y norteamericano: Latinoamérica, África y Asia las regiones de las venas abiertas.
Sistemas económicos actuales: Capitalismo – Socialismo y Economía Mixta.
Impacto social, económico y ambiental provocado por los avances tecnológicos y de industrialización en Colombia.
Movimientos sociales: Organizaciones que buscan reivindicar los DDHH y mecanismos alternativos de resolución de problemas: diálogo, conciliación, arbitraje, mediación. (CPAZ: Resolución pacífica de conflictos)."
Ciencias Sociales,8°,III,"La política exterior de los Estados Unidos y su influencia en la dinámica económica, social y política de Colombia.
La importancia de las alianzas de cooperación entre Estados: Unión Europea – BRICS – Mercosur
La importancia de las alianzas de cooperación que sostiene Colombia:  OCDE – CAN – ALADI. 
Diferencias entre los niveles de desarrollo entre Europa y Latinoamérica.
Causas de la migración. Análisis de casos: Europa y Estados Unidos.
Aportes de los migrantes: “fugas de cerebros”. (CPAZ: Proyectos de impacto social)."
